sample_name,date,pH,temperature,treatment ,replicate ,timepoint,tank
AT0,20240625,7.7,30,stress,S1,T0,A
BT0,20240625,7.7,30,stress,S2,T0,B
CT0,20240625,8.1,26.5,control_ambient,CA1,T0,C
DT0,20240625,8.1,26.5,ambient,A1,T0,D
ET0,20240625,8.1,26.5,ambient,A2,T0,E
FT0,20240625,8.1,26.5,ambient ,A3,T0,F
GT0,20240625,7.7,30,control_stress,CS1,T0,G
HT0,20240625,7.7,30,stress,S3,T0,H
IT0,20240625,8.1,26.5,ambient,A4,T0,I
JT0,20240625,8.1,26.5,ambient,A5,T0,J
KT0,20240625,7.7,30,stress,S4,T0,K
LT0,20240625,7.7,30,stress,S5,T0,L
AT1,20240702,7.7,30,stress,S1,T1,A
BT1,20240702,7.7,30,stress,S2,T1,B
CT1,20240702,8.1,26.5,control_ambient,CA1,T1,C
DT1,20240702,8.1,26.5,ambient,A1,T1,D
ET1,20240702,8.1,26.5,ambient,A2,T1,E
FT1,20240702,8.1,26.5,ambient ,A3,T1,F
GT1,20240702,7.7,30,control_stress,CS1,T1,G
HT1,20240702,7.7,30,stress,S3,T1,H
IT1,20240702,8.1,26.5,ambient,A4,T1,I
JT1,20240702,8.1,26.5,ambient,A5,T1,J
KT1,20240702,7.7,30,stress,S4,T1,K
LT1,20240702,7.7,30,stress,S5,T1,L
AT2,20240709,7.7,30,stress,S1,T2,A
BT2,20240709,7.7,30,stress,S2,T2,B
CT2,20240709,8.1,26.5,control_ambient,CA1,T2,C
DT2,20240709,8.1,26.5,ambient,A1,T2,D
ET2,20240709,8.1,26.5,ambient,A2,T2,E
FT2,20240709,8.1,26.5,ambient ,A3,T2,F
GT2,20240709,7.7,30,control_stress,CS1,T2,G
HT2,20240709,7.7,30,stress,S3,T2,H
IT2,20240709,8.1,26.5,ambient,A4,T2,I
JT2,20240709,8.1,26.5,ambient,A5,T2,J
KT2,20240709,7.7,30,stress,S4,T2,K
LT2,20240709,7.7,30,stress,S5,T2,L
AT3,20240716,7.7,30,stress,S1,T3,A
BT3,20240716,7.7,30,stress,S2,T3,B
CT3,20240716,8.1,26.5,control_ambient,CA1,T3,C
DT3,20240716,8.1,26.5,ambient,A1,T3,D
ET3,20240716,8.1,26.5,ambient,A2,T3,E
FT3,20240716,8.1,26.5,ambient ,A3,T3,F
GT3,20240716,7.7,30,control_stress,CS1,T3,G
HT3,20240716,7.7,30,stress,S3,T3,H
IT3,20240716,8.1,26.5,ambient,A4,T3,I
JT3,20240716,8.1,26.5,ambient,A5,T3,J
KT3,20240716,7.7,30,stress,S4,T3,K
LT3,20240716,7.7,30,stress,S5,T3,L
AT4,20240723,7.7,30,stress,S1,T4,A
BT4,20240723,7.7,30,stress,S2,T4,B
CT4,20240723,8.1,26.5,control_ambient,CA1,T4,C
DT4,20240723,8.1,26.5,ambient,A1,T4,D
ET4,20240723,8.1,26.5,ambient,A2,T4,E
FT4,20240723,8.1,26.5,ambient ,A3,T4,F
GT4,20240723,7.7,30,control_stress,CS1,T4,G
HT4,20240723,7.7,30,stress,S3,T4,H
IT4,20240723,8.1,26.5,ambient,A4,T4,I
JT4,20240723,8.1,26.5,ambient,A5,T4,J
KT4,20240723,7.7,30,stress,S4,T4,K
LT4,20240723,7.7,30,stress,S5,T4,L
AT5,20240730,7.7,30,stress,S1,T5,A
BT5,20240730,7.7,30,stress,S2,T5,B
CT5,20240730,8.1,26.5,control_ambient,CA1,T5,C
DT5,20240730,8.1,26.5,ambient,A1,T5,D
ET5,20240730,8.1,26.5,ambient,A2,T5,E
FT5,20240730,8.1,26.5,ambient,A3,T5,F
GT5,20240730,7.7,30,control_stress,CS1,T5,G
HT5,20240730,7.7,30,stress,S3,T5,H
IT5,20240730,8.1,26.5,ambient,A4,T5,I
JT5,20240730,8.1,26.5,ambient,A5,T5,J
KT5,20240730,7.7,30,stress,S4,T5,K
LT5,20240730,7.7,30,stress,S5,T5,L
AT6,20240806,7.7,30,stress,S1,T6,A
BT6,20240806,7.7,30,stress,S2,T6,B
CT6,20240806,8.1,26.5,control_ambient,CA1,T6,C
DT6,20240806,8.1,26.5,ambient,A1,T6,D
ET6,20240806,8.1,26.5,ambient,A2,T6,E
FT6,20240806,8.1,26.5,ambient ,A3,T6,F
GT6,20240806,7.7,30,control_stress,CS1,T6,G
HT6,20240806,7.7,30,stress,S3,T6,H
IT6,20240806,8.1,26.5,ambient,A4,T6,I
JT6,20240806,8.1,26.5,ambient,A5,T6,J
KT6,20240806,7.7,30,stress,S4,T6,K
LT6,20240806,7.7,30,stress,S5,T6,L