sample_name,treatment ,date counted ,IFCB_bin_ID,features_name,volume_analyzed_ml
AT0,stress,20250415,D20250416T011805,D20250416T011805_IFCB121_features_v2,4.672
AT1,stress,20250415,D20250416T015740,D20250416T015740_IFCB121_features_v2,4.592
AT2,stress,20250411,D20250411T235953,D20250411T235953_IFCB121_features_v2,4.444
AT3,stress,20250409,D20250409T194455,D20250409T194455_IFCB121_features_v2,4.371
AT4,stress,20250415,D20250416T024211,D20250416T024211_IFCB121_features_v2,4.821
AT5,stress,20250416,D20250416T200549,D20250416T200549_IFCB121_features_v2,4.925
AT6,stress,20250416,D20250416T204945,D20250416T204945_IFCB121_features_v2,4.91
BT0,stress,20250609,D20250609T213334,D20250609T213334_IFCB121_features_v2,4.15
BT1,stress,20250609,D20250609T201050,D20250609T201050_IFCB121_features_v2,2.659
BT2,stress,20250505,D20250505T223819,D20250505T223819_IFCB121_features_v2,2.764
BT3,stress,20250505,D20250505T231847,D20250505T231847_IFCB121_features_v2,3.198
BT4,stress,20250505,D20250506T000014,D20250506T000014_IFCB121_features_v2,2.709
BT5,stress,20250609,D20250610T005117,D20250610T005117_IFCB121_features_v2,2.837
BT6,stress,20250609,D20250610T015833,D20250610T015833_IFCB121_features_v2,2.903
DT0,ambient,20250415,D20250415T202624,D20250415T202624_IFCB121_features_v2,2.427
DT1,ambient,20250415,D20250415T213251,D20250415T213251_IFCB121_features_v2,0.612
DT2,ambient,20250411,D20250411T212734,D20250411T212734_IFCB121_features_v2,1.762
DT3,ambient,20250409,D20250409T204440,D20250409T204440_IFCB121_features_v2,3.333
DT4,ambient,20250407,D20250407T211351,D20250407T211351_IFCB121_features_v2,4.364
DT5,ambient,20250415,D20250415T233326,D20250415T233326_IFCB121_features_v2,4.428
DT6,ambient,20250415,D20250416T002544,D20250416T002544_IFCB121_features_v2,4.576
ET0,ambient,20250416,D20250416T213505,D20250416T213505_IFCB121_features_v2,4.902
ET1,ambient,20250416,D20250416T222509,D20250416T222509_IFCB121_features_v2,1.963
ET2,ambient,20250411,D20250411T231401,D20250411T231401_IFCB121_features_v2,3.349
ET3,ambient,20250416,D20250417T001823,D20250417T001823_IFCB121_features_v2,2.025
ET4,ambient,20250416,D20250417T021118,D20250417T021118_IFCB121_features_v2,2.744
ET5,ambient,20250416,D20250417T012221,D20250417T012221_IFCB121_features_v2,4.357
ET6,ambient,20250513,D20250513T210558,D20250513T210558_IFCB121_features_v2,4.626
FT0,ambient ,20250507,D20250507T202756,D20250507T202756_IFCB121_features_v2,4.827
FT1,ambient ,20250507,D20250507T210825,D20250507T210825_IFCB121_features_v2,2.203
FT2,ambient ,20250507,D20250507T214808,D20250507T214808_IFCB121_features_v2,2.813
FT3,ambient ,20250507,D20250507T232457,D20250507T232457_IFCB121_features_v2,3.894
FT4,ambient ,20250507,D20250508T000417,D20250508T000417_IFCB121_features_v2,4.906
FT5,ambient,20250609,D20250610T024448,D20250610T024448_IFCB121_features_v2,4.566
FT6,ambient,20250609,D20250610T032457,D20250610T032457_IFCB121_features_v2,4.524
HT0,stress,20250502,D20250502T000825,D20250502T000825_IFCB121_features_v2,4.767
HT1,stress,20250502,D20250502T013737,D20250502T013737_IFCB121_features_v2,3.73
HT2,stress,20250417,D20250417T235439,D20250417T235439_IFCB121_features_v2,1.802
HT3,stress,20250417,D20250418T004137,D20250418T004137_IFCB121_features_v2,3.83
HT4,stress,20250513,D20250513T190725,D20250513T190725_IFCB121_features_v2,4.919
HT5,stress,20250513,D20250513T194817,D20250513T194817_IFCB121_features_v2,4.895
HT6,stress,20250513,D20250513T202643,D20250513T202643_IFCB121_features_v2,4.598
JT0,ambient,20250508,D20250508T200000,D20250508T200000_IFCB121_features_v2,4.892
JT1,ambient,20250508,D20250508T203855,D20250508T203855_IFCB121_features_v2,3.691
JT2,ambient,20250508,D20250508T211817,D20250508T211817_IFCB121_features_v2,4.245
JT3,ambient,20250508,D20250508T220306,D20250508T220306_IFCB121_features_v2,3.906
JT4,ambient,20250512,D20250512T193447,D20250512T193447_IFCB121_features_v2,4.558
JT5,ambient,20250512,D20250512T201603,D20250512T201603_IFCB121_features_v2,4.77
JT6,ambient,20250512,D20250512T210411,D20250512T210411_IFCB121_features_v2,4.853
KT0,stress,20250501,D20250501T215234,D20250501T215234_IFCB121_features_v2,4.834
KT1,stress,20250411,D20250411T223103,D20250411T223103_IFCB121_features_v2,4.879
KT2,stress,20250417,D20250418T012641,D20250418T012641_IFCB121_features_v2,4.767
KT3,stress,20250417,D20250418T021550,D20250418T021550_IFCB121_features_v2,4.924
KT4,stress,20250501,D20250501T223141,D20250501T223141_IFCB121_features_v2,4.898
KT5,stress,20250501,D20250501T232405,D20250501T232405_IFCB121_features_v2,4.89
KT6,stress,20250502,D20250502T005303,D20250502T005303_IFCB121_features_v2,4.835